    13.52360     3.70009  -0.02404    1    0      0.403468E+00   -0.724387E+00     1.06261
    13.52360     3.70009  -0.02404    1    1     -0.449227E+00   -0.579747E+00     2.23002
    13.52360     3.70009  -0.02404    1    2      0.108657E+00   -0.707689E-01     0.57729
    13.52360     3.70009  -0.02404    1    3      0.122286E+00   -0.905105E+00     1.43650
    13.52360     3.70009  -0.02404    1    4      0.396757E+00   -0.414894E+00     0.80774
    13.52360     3.70009  -0.02404    1    5      0.320444E+00   -0.215403E+00     0.59183
    13.52360     3.70009  -0.02404    1    6      0.228451E+00   -0.123854E+00     0.49679
    13.52360     3.70009  -0.02404    1    7      0.116990E+00   -0.488367E-01     0.39545
    13.52360     3.70009  -0.02404    1    8      0.402617E-01   -0.137556E-01     0.32922
    13.52360     3.70009  -0.02404    1    9      0.101127E-01   -0.324028E-02     0.31008
    13.52360     3.70009  -0.02404    1   10      0.198471E-02   -0.646521E-03     0.31491
    13.52360     3.70009  -0.02404    1   11      0.315044E-03   -0.107080E-03     0.32764
    13.52360     3.70009  -0.02404    2    0      0.422253E+00   -0.681641E+00     1.01619
    13.52360     3.70009  -0.02404    2    1     -0.434183E+00   -0.638144E+00     2.16824
    13.52360     3.70009  -0.02404    2    2      0.379428E-01   -0.577405E-01     0.98943
    13.52360     3.70009  -0.02404    2    3      0.130710E+00   -0.901765E+00     1.42685
    13.52360     3.70009  -0.02404    2    4      0.392972E+00   -0.425567E+00     0.82520
    13.52360     3.70009  -0.02404    2    5      0.306296E+00   -0.200673E+00     0.57999
    13.52360     3.70009  -0.02404    2    6      0.221272E+00   -0.118455E+00     0.49151
    13.52360     3.70009  -0.02404    2    7      0.127759E+00   -0.569071E-01     0.41904
    13.52360     3.70009  -0.02404    2    8      0.519323E-01   -0.195963E-01     0.36082
    13.52360     3.70009  -0.02404    2    9      0.153111E-01   -0.538934E-02     0.33845
    13.52360     3.70009  -0.02404    2   10      0.348530E-02   -0.123660E-02     0.34095
    13.52360     3.70009  -0.02404    2   11      0.637221E-03   -0.235063E-03     0.35340
    13.52360     3.70009  -0.02404    3    0      0.417564E+00   -0.693737E+00     1.02898
    13.52360     3.70009  -0.02404    3    1     -0.438816E+00   -0.623396E+00     2.18414
    13.52360     3.70009  -0.02404    3    2      0.563981E-01   -0.602364E-01     0.81830
    13.52360     3.70009  -0.02404    3    3      0.112381E+00   -0.907519E+00     1.44759
    13.52360     3.70009  -0.02404    3    4      0.395341E+00   -0.436030E+00     0.83430
    13.52360     3.70009  -0.02404    3    5      0.319613E+00   -0.215408E+00     0.59304
    13.52360     3.70009  -0.02404    3    6      0.235980E+00   -0.130285E+00     0.50446
    13.52360     3.70009  -0.02404    3    7      0.133276E+00   -0.590225E-01     0.41690
    13.52360     3.70009  -0.02404    3    8      0.513750E-01   -0.186559E-01     0.34833
    13.52360     3.70009  -0.02404    3    9      0.142712E-01   -0.477974E-02     0.32318
    13.52360     3.70009  -0.02404    3   10      0.306788E-02   -0.103409E-02     0.32511
    13.52360     3.70009  -0.02404    3   11      0.530940E-03   -0.186090E-03     0.33711
    13.52360     3.70009  -0.02404    4    0      0.423154E+00   -0.684372E+00     1.01702
    13.52360     3.70009  -0.02404    4    1     -0.435701E+00   -0.634144E+00     2.17279
    13.52360     3.70009  -0.02404    4    2      0.397171E-01   -0.591291E-01     0.97932
    13.52360     3.70009  -0.02404    4    3      0.126113E+00   -0.902205E+00     1.43191
    13.52360     3.70009  -0.02404    4    4      0.397659E+00   -0.406534E+00     0.79643
    13.52360     3.70009  -0.02404    4    5      0.309192E+00   -0.205072E+00     0.58563
    13.52360     3.70009  -0.02404    4    6      0.200677E+00   -0.103674E+00     0.47686
    13.52360     3.70009  -0.02404    4    7      0.912712E-01   -0.363768E-01     0.37926
    13.52360     3.70009  -0.02404    4    8      0.285455E-01   -0.972074E-02     0.32822
    13.52360     3.70009  -0.02404    4    9      0.666320E-02   -0.219787E-02     0.31861
    13.52360     3.70009  -0.02404    4   10      0.122666E-02   -0.416290E-03     0.32717
    13.52360     3.70009  -0.02404    5    0      0.424703E+00   -0.676833E+00     1.01041
    13.52360     3.70009  -0.02404    5    1     -0.432716E+00   -0.643501E+00     2.16279
    13.52360     3.70009  -0.02404    5    2      0.316172E-01   -0.570879E-01     1.06501
    13.52360     3.70009  -0.02404    5    3      0.136951E+00   -0.899707E+00     1.41974
    13.52360     3.70009  -0.02404    5    4      0.392469E+00   -0.418119E+00     0.81703
    13.52360     3.70009  -0.02404    5    5      0.301660E+00   -0.195637E+00     0.57534
    13.52360     3.70009  -0.02404    5    6      0.213336E+00   -0.112691E+00     0.48598
    13.52360     3.70009  -0.02404    5    7      0.120182E+00   -0.529363E-01     0.41490
    13.52360     3.70009  -0.02404    5    8      0.479600E-01   -0.181089E-01     0.36103
    13.52360     3.70009  -0.02404    5    9      0.139772E-01   -0.497459E-02     0.34193
    13.52360     3.70009  -0.02404    5   10      0.315508E-02   -0.113725E-02     0.34596
    13.52360     3.70009  -0.02404    5   11      0.572736E-03   -0.214952E-03     0.35904
